	Model 1	Model 2	Model 3	Model 4	Model 5
CITY: ROSEVILLE/APPLE VALLEY		0.32449***			
		(0.01096)			
CITY: SHOREVIEW/APPLE VALLEY		0.23428***			
		(0.00925)			
CITY: SOUTH ST PAUL/APPLE VALLEY		0.14742***			
		(0.01149)			
CITY: SPRING LAKE PARK/APPLE VALLEY		0.04895			
		(0.10892)			
CITY: ST. ANTHONY/APPLE VALLEY		0.29992***			
		(0.03817)			
CITY: STILLWATER/APPLE VALLEY		0.21419***			
		(0.00774)			
CITY: ST. PAUL/APPLE VALLEY		0.38606***			
		(0.01107)			
CITY: ST. PAUL/APPLE VALLEY PARK		0.08507***			
		(0.01273)			
CITY: TOWN OF BAYTOWN/APPLE VALLEY		0.19258			
		(0.13327)			
CITY: VADNAIS HEIGHTS/APPLE VALLEY		0.20040***			
		(0.01284)			
CITY: WEST ST PAUL/APPLE VALLEY		0.22512***			
		(0.01319)			
CITY: WHITE BEAR LAKE/APPLE VALLEY		0.21557***			
		(0.00948)			
CITY: WHITE BEAR TOWNSHIP/APPLE VALLEY		0.12635***			
		(0.01131)			
CITY: WILLERNIE/APPLE VALLEY		0.08367**			
		(0.03067)			
CITY: WOODBURY/APPLE VALLEY		0.26383***			
		(0.00846)			
HOMESTEAD: Y/N			0.00057	0.05081***	0.02927**
			(0.00530)	(0.00878)	(0.01006)
COUNTY_ID: 123/037			0.15324***	0.11290***	0.12513***
			(0.00628)	(0.01102)	(0.01376)
COUNTY_ID: 163/037			0.15614***	0.09038***	0.12240***
			(0.00624)	(0.00990)	(0.01237)
sigma	0.19903	0.18820	0.16771	0.21754	0.23620
R-squared	0.70137	0.73327	0.75531	0.66083	0.63526
N	42083	42083	8885	5498	4200
