"minGCV","optimalBandwidth","meanBeta.Intercept","meanBeta.MAX","meanBeta.FIN_SQ_FT","meanBeta.ACRES_POLY","meanBeta.YEAR_BUILT","sterBeta.Intercept","sterBeta.MAX","sterBeta.FIN_SQ_FT","sterBeta.ACRES_POLY","sterBeta.YEAR_BUILT"
0.0495883492112099,4000,8.2997187012362,-0.00469265155754437,0.000282343110783796,0.304179810322325,0.00193807810366115,1.59641889425332,0.000815424581774768,1.93021915728485e-05,0.0484965821863743,0.000870181863471476
0.0495891967961542,4000,8.36289718675109,-0.00461393125221868,0.000281859689230514,0.300835218751424,0.00190248734623343,1.52000895040904,0.000783122353285364,1.79626344072065e-05,0.0552988087041879,0.000834998186467227
0.0495899520430999,4000,8.29027897242648,-0.00467492273330818,0.000280204516831046,0.298987549561218,0.00194391809625957,1.55838855755429,0.00086790818078997,1.96413559643969e-05,0.045628265766863,0.00084966263628955
0.0496018538976093,4000,8.39464442223816,-0.00468101406285733,0.000281600181590801,0.299594332674913,0.00188860695315656,1.63391709279001,0.000801040022989467,1.97058973192981e-05,0.0460562387090126,0.000892651151872029
0.0496032804109405,4000,8.21144325773944,-0.00470491613431123,0.000281307830480619,0.305362138578354,0.00198510462018661,1.4961926567223,0.000921069358729008,1.79594841372422e-05,0.0456587745119164,0.000815687882416566
0.0496112520131287,4000,8.33936979214824,-0.00473239462809703,0.000282111205333615,0.297439499780057,0.00191847839996901,1.59123938051513,0.000906062331846994,1.85162813126207e-05,0.041903191895058,0.000869343506045751
0.0496192445174392,4000,8.35511449778277,-0.00464548591914888,0.000281905074381718,0.298446703330592,0.00191106794483206,1.58741649981334,0.000847284543040856,1.83450272370673e-05,0.0475365177557949,0.000862799528725232
0.0496209635568114,4000,8.28070120085207,-0.00467491726576204,0.00028174581840035,0.296792766062467,0.00194896241686444,1.6692124579151,0.000887713789542602,1.96802365322705e-05,0.0461524085782281,0.000909131084296877
0.0496219510318674,4000,8.33009750970493,-0.00476320866711017,0.000280542313783493,0.305190182716255,0.00192192947914592,1.62113558739367,0.000872772106851981,1.86638188801198e-05,0.0424245421120883,0.000880181053274044
0.0496232536432197,4000,8.41165335859735,-0.00475562482594204,0.000282728199394959,0.296838599894647,0.00188265577780619,1.58896409908613,0.000898006559709745,1.80988826959012e-05,0.0473425121139903,0.000867965512626348
